Alaska, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
192511,4.87,1.46
192611,2.29,-1.12
192711,1.53,-1.88
192811,4.62,1.21
192911,5.56,2.15
193011,4.69,1.28
193111,4.48,1.07
193211,2.24,-1.17
193311,4.72,1.31
193411,1.51,-1.90
193511,4.44,1.03
193611,6.27,2.86
193711,2.89,-0.52
193811,4.54,1.13
193911,3.13,-0.28
194011,3.04,-0.37
194111,3.53,0.12
194211,2.07,-1.34
194311,4.68,1.27
194411,2.56,-0.85
194511,2.30,-1.11
194611,3.06,-0.35
194711,4.05,0.64
194811,3.73,0.32
194911,3.56,0.15
195011,1.73,-1.68
195111,3.08,-0.33
195211,4.67,1.26
195311,2.27,-1.14
195411,3.43,0.02
195511,1.85,-1.56
195611,5.02,1.61
195711,4.35,0.94
195811,3.59,0.18
195911,3.80,0.39
196011,2.84,-0.57
196111,3.41,0.00
196211,2.42,-0.99
196311,1.50,-1.91
196411,3.15,-0.26
196511,2.43,-0.98
196611,3.46,0.05
196711,4.59,1.18
196811,2.81,-0.60
196911,3.91,0.50
197011,3.17,-0.24
197111,2.78,-0.63
197211,2.54,-0.87
197311,2.19,-1.22
197411,4.26,0.85
197511,1.76,-1.65
197611,5.61,2.20
197711,2.07,-1.34
197811,3.63,0.22
197911,5.78,2.37
198011,3.36,-0.05
198111,3.82,0.41
198211,3.02,-0.39
198311,2.64,-0.77
198411,2.32,-1.09
198511,2.45,-0.96
198611,3.59,0.18
198711,3.99,0.58
198811,3.08,-0.33
198911,3.49,0.08
199011,3.08,-0.33
199111,3.38,-0.03
199211,4.54,1.13
199311,4.94,1.53
199411,4.81,1.40
199511,1.73,-1.68
199611,2.19,-1.22
199711,3.61,0.20
199811,1.99,-1.42
199911,2.92,-0.49
200011,4.29,0.88
200111,1.96,-1.45
200211,4.45,1.04
200311,4.42,1.01
200411,4.87,1.46
200511,4.42,1.01
200611,1.37,-2.04
200711,3.59,0.18
200811,2.84,-0.57
200911,3.35,-0.06
201011,4.29,0.88
201111,3.28,-0.13
201211,1.98,-1.43
201311,4.06,0.65
201411,2.52,-0.89
201511,5.39,1.98
201611,2.90,-0.51
201711,2.34,-1.07
201811,3.57,0.16
201911,5.10,1.69
202011,3.99,0.58
202111,2.34,-1.07
202211,3.31,-0.10
