Alabama, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,1.76,-2.07
189611,4.42,0.59
189711,1.80,-2.03
189811,5.99,2.16
189911,2.97,-0.86
190011,3.33,-0.50
190111,1.78,-2.05
190211,4.11,0.28
190311,2.12,-1.71
190411,3.06,-0.77
190511,1.68,-2.15
190611,2.32,-1.51
190711,6.36,2.53
190811,1.66,-2.17
190911,1.26,-2.57
191011,2.19,-1.64
191111,4.54,0.71
191211,2.11,-1.72
191311,1.30,-2.53
191411,4.01,0.18
191511,3.26,-0.57
191611,2.80,-1.03
191711,1.47,-2.36
191811,5.16,1.33
191911,5.03,1.20
192011,3.09,-0.74
192111,3.42,-0.41
192211,1.94,-1.89
192311,5.20,1.37
192411,0.26,-3.57
192511,4.59,0.76
192611,5.07,1.24
192711,3.74,-0.09
192811,2.47,-1.36
192911,10.20,6.37
193011,6.94,3.11
193111,2.13,-1.70
193211,3.91,0.08
193311,1.26,-2.57
193411,3.97,0.14
193511,3.30,-0.53
193611,1.86,-1.97
193711,3.40,-0.43
193811,3.38,-0.45
193911,0.86,-2.97
194011,3.56,-0.27
194111,2.63,-1.20
194211,1.84,-1.99
194311,3.40,-0.43
194411,3.58,-0.25
194511,3.46,-0.37
194611,5.00,1.17
194711,8.15,4.32
194811,15.07,11.24
194911,0.86,-2.97
195011,1.78,-2.05
195111,3.68,-0.15
195211,2.67,-1.16
195311,2.62,-1.21
195411,3.05,-0.78
195511,3.17,-0.66
195611,1.78,-2.05
195711,8.07,4.24
195811,3.00,-0.83
195911,2.64,-1.19
196011,2.17,-1.66
196111,4.50,0.67
196211,4.76,0.93
196311,4.31,0.48
196411,3.79,-0.04
196511,1.83,-2.00
196611,3.35,-0.48
196711,3.76,-0.07
196811,4.31,0.48
196911,1.90,-1.93
197011,2.20,-1.63
197111,2.49,-1.34
197211,4.66,0.83
197311,4.95,1.12
197411,3.94,0.11
197511,3.27,-0.56
197611,4.41,0.58
197711,6.31,2.48
197811,3.30,-0.53
197911,5.80,1.97
198011,3.17,-0.66
198111,1.75,-2.08
198211,5.62,1.79
198311,7.47,3.64
198411,3.90,0.07
198511,2.91,-0.92
198611,8.86,5.03
198711,4.04,0.21
198811,5.41,1.58
198911,6.06,2.23
199011,2.94,-0.89
199111,4.37,0.54
199211,9.48,5.65
199311,3.88,0.05
199411,3.50,-0.33
199511,5.80,1.97
199611,3.46,-0.37
199711,5.70,1.87
199811,3.30,-0.53
199911,2.61,-1.22
200011,7.70,3.87
200111,3.43,-0.40
200211,4.88,1.05
200311,4.67,0.84
200411,8.12,4.29
200511,3.59,-0.24
200611,4.84,1.01
200711,2.75,-1.08
200811,3.15,-0.68
200911,4.39,0.56
201011,4.73,0.90
201111,4.13,0.30
201211,1.36,-2.47
201311,3.42,-0.41
201411,2.98,-0.85
201511,6.80,2.97
201611,2.30,-1.53
201711,1.05,-2.78
201811,6.29,2.46
201911,3.24,-0.59
202011,2.75,-1.08
202111,1.19,-2.64
202211,4.84,1.01
