Arkansas, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,4.61,0.37
189611,4.47,0.23
189711,2.87,-1.37
189811,3.29,-0.95
189911,2.70,-1.54
190011,4.34,0.10
190111,2.91,-1.33
190211,6.59,2.35
190311,0.65,-3.59
190411,1.47,-2.77
190511,3.32,-0.92
190611,5.95,1.71
190711,5.70,1.46
190811,5.59,1.35
190911,3.85,-0.39
191011,0.52,-3.72
191111,3.26,-0.98
191211,1.82,-2.42
191311,2.41,-1.83
191411,2.33,-1.91
191511,5.42,1.18
191611,2.93,-1.31
191711,1.84,-2.40
191811,3.88,-0.36
191911,6.49,2.25
192011,2.13,-2.11
192111,5.73,1.49
192211,3.83,-0.41
192311,3.46,-0.78
192411,2.29,-1.95
192511,5.72,1.48
192611,3.32,-0.92
192711,3.62,-0.62
192811,4.10,-0.14
192911,2.87,-1.37
193011,3.95,-0.29
193111,6.33,2.09
193211,2.11,-2.13
193311,1.85,-2.39
193411,7.08,2.84
193511,3.78,-0.46
193611,3.03,-1.21
193711,4.81,0.57
193811,5.27,1.03
193911,3.34,-0.90
194011,6.18,1.94
194111,2.30,-1.94
194211,3.61,-0.63
194311,1.26,-2.98
194411,4.75,0.51
194511,4.36,0.12
194611,8.74,4.50
194711,5.33,1.09
194811,6.20,1.96
194911,0.38,-3.86
195011,2.37,-1.87
195111,5.30,1.06
195211,7.04,2.80
195311,2.22,-2.02
195411,1.51,-2.73
195511,2.01,-2.23
195611,3.96,-0.28
195711,9.17,4.93
195811,5.66,1.42
195911,2.93,-1.31
196011,2.79,-1.45
196111,6.65,2.41
196211,2.10,-2.14
196311,4.01,-0.23
196411,3.94,-0.30
196511,1.74,-2.50
196611,2.16,-2.08
196711,1.87,-2.37
196811,5.95,1.71
196911,3.81,-0.43
197011,2.55,-1.69
197111,2.77,-1.47
197211,7.74,3.50
197311,8.09,3.85
197411,6.79,2.55
197511,3.84,-0.40
197611,1.63,-2.61
197711,5.78,1.54
197811,6.92,2.68
197911,4.06,-0.18
198011,3.69,-0.55
198111,2.22,-2.02
198211,6.96,2.72
198311,6.09,1.85
198411,6.18,1.94
198511,6.14,1.90
198611,5.94,1.70
198711,8.89,4.65
198811,9.37,5.13
198911,1.74,-2.50
199011,3.77,-0.47
199111,5.16,0.92
199211,5.40,1.16
199311,5.42,1.18
199411,7.14,2.90
199511,2.82,-1.42
199611,8.89,4.65
199711,3.47,-0.77
199811,3.01,-1.23
199911,1.85,-2.39
200011,8.97,4.73
200111,5.78,1.54
200211,2.17,-2.07
200311,5.26,1.02
200411,8.99,4.75
200511,3.20,-1.04
200611,4.88,0.64
200711,2.06,-2.18
200811,2.31,-1.93
200911,1.70,-2.54
201011,4.35,0.11
201111,8.45,4.21
201211,1.74,-2.50
201311,3.85,-0.39
201411,2.68,-1.56
201511,10.72,6.48
201611,3.28,-0.96
201711,1.11,-3.13
201811,5.11,0.87
201911,4.66,0.42
202011,1.94,-2.30
202111,2.12,-2.12
202211,4.49,0.25
