Colorado, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,1.59,0.55
189611,0.95,-0.09
189711,0.58,-0.46
189811,1.20,0.16
189911,0.96,-0.08
190011,0.70,-0.34
190111,0.28,-0.76
190211,1.08,0.04
190311,0.22,-0.82
190411,0.03,-1.01
190511,1.33,0.29
190611,1.48,0.44
190711,0.48,-0.56
190811,1.34,0.30
190911,1.70,0.66
191011,0.82,-0.22
191111,1.00,-0.04
191211,0.49,-0.55
191311,1.13,0.09
191411,0.07,-0.97
191511,1.07,0.03
191611,0.70,-0.34
191711,0.40,-0.64
191811,1.21,0.17
191911,2.19,1.15
192011,0.77,-0.27
192111,0.67,-0.37
192211,1.82,0.78
192311,0.74,-0.30
192411,0.62,-0.42
192511,0.96,-0.08
192611,1.03,-0.01
192711,1.17,0.13
192811,1.90,0.86
192911,0.92,-0.12
193011,1.62,0.58
193111,1.76,0.72
193211,0.30,-0.74
193311,0.80,-0.24
193411,1.08,0.04
193511,0.57,-0.47
193611,0.35,-0.69
193711,0.86,-0.18
193811,1.02,-0.02
193911,0.31,-0.73
194011,1.31,0.27
194111,0.53,-0.51
194211,0.69,-0.35
194311,0.62,-0.42
194411,1.40,0.36
194511,0.63,-0.41
194611,2.46,1.42
194711,0.94,-0.10
194811,0.99,-0.05
194911,0.26,-0.78
195011,0.92,-0.12
195111,1.16,0.12
195211,1.31,0.27
195311,1.47,0.43
195411,0.88,-0.16
195511,1.28,0.24
195611,1.08,0.04
195711,1.86,0.82
195811,0.87,-0.17
195911,0.43,-0.61
196011,0.78,-0.26
196111,1.09,0.05
196211,0.96,-0.08
196311,0.70,-0.34
196411,1.56,0.52
196511,1.22,0.18
196611,0.65,-0.39
196711,0.68,-0.36
196811,1.09,0.05
196911,0.72,-0.32
197011,1.29,0.25
197111,1.09,0.05
197211,1.85,0.81
197311,1.15,0.11
197411,0.96,-0.08
197511,1.60,0.56
197611,0.33,-0.71
197711,1.25,0.21
197811,1.57,0.53
197911,1.45,0.41
198011,0.68,-0.36
198111,0.76,-0.28
198211,1.28,0.24
198311,2.48,1.44
198411,0.66,-0.38
198511,2.29,1.25
198611,1.78,0.74
198711,1.49,0.45
198811,1.35,0.31
198911,0.40,-0.64
199011,1.41,0.37
199111,2.28,1.24
199211,1.60,0.56
199311,1.41,0.37
199411,1.64,0.60
199511,0.88,-0.16
199611,1.42,0.38
199711,1.23,0.19
199811,1.34,0.30
199911,0.37,-0.67
200011,0.83,-0.21
200111,1.20,0.16
200211,0.98,-0.06
200311,1.34,0.30
200411,1.69,0.65
200511,0.89,-0.15
200611,0.80,-0.24
200711,0.40,-0.64
200811,0.92,-0.12
200911,0.61,-0.43
201011,0.95,-0.09
201111,0.99,-0.05
201211,0.44,-0.60
201311,1.15,0.11
201411,1.12,0.08
201511,1.69,0.65
201611,0.92,-0.12
201711,0.52,-0.52
201811,0.87,-0.17
201911,1.11,0.07
202011,0.85,-0.19
202111,0.37,-0.67
202211,0.91,-0.13
