Connecticut, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,6.31,2.24
189611,3.23,-0.84
189711,6.56,2.49
189811,7.11,3.04
189911,1.97,-2.10
190011,6.07,2.00
190111,2.44,-1.63
190211,1.35,-2.72
190311,2.06,-2.01
190411,1.79,-2.28
190511,2.46,-1.61
190611,2.40,-1.67
190711,6.35,2.28
190811,0.95,-3.12
190911,2.42,-1.65
191011,4.80,0.73
191111,5.62,1.55
191211,4.22,0.15
191311,2.79,-1.28
191411,3.03,-1.04
191511,2.39,-1.68
191611,3.10,-0.97
191711,0.80,-3.27
191811,2.99,-1.08
191911,5.21,1.14
192011,5.68,1.61
192111,6.13,2.06
192211,1.29,-2.78
192311,4.04,-0.03
192411,2.72,-1.35
192511,3.62,-0.45
192611,5.79,1.72
192711,7.46,3.39
192811,1.96,-2.11
192911,2.96,-1.11
193011,4.10,0.03
193111,1.11,-2.96
193211,6.96,2.89
193311,1.36,-2.71
193411,3.80,-0.27
193511,4.32,0.25
193611,1.44,-2.63
193711,6.50,2.43
193811,3.59,-0.48
193911,1.65,-2.42
194011,6.03,1.96
194111,3.47,-0.60
194211,6.19,2.12
194311,4.94,0.87
194411,7.00,2.93
194511,5.65,1.58
194611,1.43,-2.64
194711,6.64,2.57
194811,5.69,1.62
194911,2.21,-1.86
195011,5.75,1.68
195111,7.74,3.67
195211,3.52,-0.55
195311,3.77,-0.30
195411,6.06,1.99
195511,5.52,1.45
195611,4.39,0.32
195711,4.32,0.25
195811,3.62,-0.45
195911,5.29,1.22
196011,3.37,-0.70
196111,3.29,-0.78
196211,4.04,-0.03
196311,6.95,2.88
196411,2.57,-1.50
196511,2.09,-1.98
196611,4.09,0.02
196711,3.15,-0.92
196811,5.81,1.74
196911,6.11,2.04
197011,4.58,0.51
197111,4.98,0.91
197211,7.90,3.83
197311,2.23,-1.84
197411,2.27,-1.80
197511,5.57,1.50
197611,0.68,-3.39
197711,4.76,0.69
197811,2.43,-1.64
197911,4.35,0.28
198011,4.28,0.21
198111,2.29,-1.78
198211,3.85,-0.22
198311,7.11,3.04
198411,3.26,-0.81
198511,6.69,2.62
198611,7.10,3.03
198711,3.02,-1.05
198811,8.98,4.91
198911,4.35,0.28
199011,3.02,-1.05
199111,4.19,0.12
199211,6.04,1.97
199311,3.99,-0.08
199411,4.66,0.59
199511,5.07,1.00
199611,4.10,0.03
199711,6.41,2.34
199811,2.32,-1.75
199911,3.21,-0.86
200011,3.71,-0.36
200111,1.08,-2.99
200211,5.68,1.61
200311,3.17,-0.90
200411,3.95,-0.12
200511,4.64,0.57
200611,6.08,2.01
200711,3.16,-0.91
200811,3.67,-0.40
200911,2.74,-1.33
201011,3.38,-0.69
201111,3.57,-0.50
201211,0.80,-3.27
201311,3.70,-0.37
201411,4.16,0.09
201511,2.23,-1.84
201611,3.24,-0.83
201711,1.62,-2.45
201811,8.09,4.02
201911,2.87,-1.20
202011,4.51,0.44
202111,1.99,-2.08
202211,3.09,-0.98
