Iowa, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,1.48,-0.23
189611,2.01,0.30
189711,0.63,-1.08
189811,1.46,-0.25
189911,1.19,-0.52
190011,1.06,-0.65
190111,0.83,-0.88
190211,2.07,0.36
190311,0.52,-1.19
190411,0.16,-1.55
190511,2.91,1.20
190611,2.06,0.35
190711,1.01,-0.70
190811,1.54,-0.17
190911,5.35,3.64
191011,0.34,-1.37
191111,1.43,-0.28
191211,0.97,-0.74
191311,1.17,-0.54
191411,0.21,-1.50
191511,1.90,0.19
191611,1.54,-0.17
191711,0.27,-1.44
191811,2.03,0.32
191911,3.41,1.70
192011,2.22,0.51
192111,0.58,-1.13
192211,3.61,1.90
192311,0.59,-1.12
192411,0.61,-1.10
192511,0.73,-0.98
192611,2.11,0.40
192711,0.93,-0.78
192811,3.77,2.06
192911,1.18,-0.53
193011,2.15,0.44
193111,5.75,4.04
193211,1.51,-0.20
193311,0.33,-1.38
193411,4.92,3.21
193511,2.69,0.98
193611,0.66,-1.05
193711,0.71,-1.00
193811,2.70,0.99
193911,0.49,-1.22
194011,2.51,0.80
194111,1.83,0.12
194211,1.73,0.02
194311,1.06,-0.65
194411,1.67,-0.04
194511,1.28,-0.43
194611,1.73,0.02
194711,1.88,0.17
194811,2.72,1.01
194911,0.50,-1.21
195011,0.57,-1.14
195111,1.29,-0.42
195211,2.73,1.02
195311,1.33,-0.38
195411,0.24,-1.47
195511,0.24,-1.47
195611,2.03,0.32
195711,2.50,0.79
195811,1.62,-0.09
195911,1.86,0.15
196011,0.95,-0.76
196111,2.96,1.25
196211,0.56,-1.15
196311,1.35,-0.36
196411,1.20,-0.51
196511,1.30,-0.41
196611,0.49,-1.22
196711,0.67,-1.04
196811,1.19,-0.52
196911,0.27,-1.44
197011,1.69,-0.02
197111,3.08,1.37
197211,2.28,0.57
197311,2.25,0.54
197411,1.41,-0.30
197511,3.47,1.76
197611,0.10,-1.61
197711,1.65,-0.06
197811,2.41,0.70
197911,1.85,0.14
198011,0.43,-1.28
198111,2.05,0.34
198211,2.93,1.22
198311,4.68,2.97
198411,2.04,0.33
198511,2.24,0.53
198611,1.15,-0.56
198711,2.64,0.93
198811,2.61,0.90
198911,0.27,-1.44
199011,1.65,-0.06
199111,4.36,2.65
199211,4.38,2.67
199311,1.09,-0.62
199411,2.21,0.50
199511,1.70,-0.01
199611,2.65,0.94
199711,1.02,-0.69
199811,1.61,-0.10
199911,1.02,-0.69
200011,2.15,0.44
200111,1.55,-0.16
200211,0.22,-1.49
200311,3.46,1.75
200411,2.21,0.50
200511,1.75,0.04
200611,1.77,0.06
200711,0.18,-1.53
200811,1.72,0.01
200911,1.19,-0.52
201011,1.64,-0.07
201111,2.08,0.37
201211,1.05,-0.66
201311,1.59,-0.12
201411,0.76,-0.95
201511,4.08,2.37
201611,1.39,-0.32
201711,0.41,-1.30
201811,1.81,0.10
201911,1.49,-0.22
202011,2.09,0.38
202111,0.98,-0.73
202211,2.04,0.33
