Minnesota, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,1.27,0.00
189611,2.82,1.55
189711,0.55,-0.72
189811,0.95,-0.32
189911,0.62,-0.65
190011,0.68,-0.59
190111,0.79,-0.48
190211,1.55,0.28
190311,0.49,-0.78
190411,0.16,-1.11
190511,2.57,1.30
190611,2.10,0.83
190711,0.54,-0.73
190811,1.24,-0.03
190911,2.46,1.19
191011,0.58,-0.69
191111,1.18,-0.09
191211,0.33,-0.94
191311,0.69,-0.58
191411,0.47,-0.80
191511,1.82,0.55
191611,0.31,-0.96
191711,0.17,-1.10
191811,2.12,0.85
191911,2.28,1.01
192011,1.18,-0.09
192111,0.82,-0.45
192211,3.23,1.96
192311,0.47,-0.80
192411,0.46,-0.81
192511,0.77,-0.50
192611,1.60,0.33
192711,1.20,-0.07
192811,0.56,-0.71
192911,0.65,-0.62
193011,2.32,1.05
193111,2.97,1.70
193211,1.93,0.66
193311,0.95,-0.32
193411,1.41,0.14
193511,1.07,-0.20
193611,1.01,-0.26
193711,0.76,-0.51
193811,1.88,0.61
193911,0.08,-1.19
194011,2.50,1.23
194111,0.49,-0.78
194211,0.55,-0.72
194311,1.20,-0.07
194411,1.83,0.56
194511,1.15,-0.12
194611,1.35,0.08
194711,2.21,0.94
194811,1.66,0.39
194911,0.89,-0.38
195011,1.09,-0.18
195111,1.14,-0.13
195211,1.06,-0.21
195311,1.50,0.23
195411,0.62,-0.65
195511,1.13,-0.14
195611,1.68,0.41
195711,1.47,0.20
195811,2.02,0.75
195911,0.74,-0.53
196011,1.15,-0.12
196111,0.93,-0.34
196211,0.41,-0.86
196311,0.87,-0.40
196411,1.00,-0.27
196511,1.86,0.59
196611,0.57,-0.70
196711,0.30,-0.97
196811,0.52,-0.75
196911,0.77,-0.50
197011,2.41,1.14
197111,2.00,0.73
197211,0.97,-0.30
197311,1.69,0.42
197411,1.44,0.17
197511,2.42,1.15
197611,0.14,-1.13
197711,2.85,1.58
197811,1.22,-0.05
197911,1.14,-0.13
198011,0.54,-0.73
198111,0.74,-0.53
198211,1.97,0.70
198311,2.79,1.52
198411,0.60,-0.67
198511,1.75,0.48
198611,1.43,0.16
198711,1.19,-0.08
198811,2.10,0.83
198911,0.94,-0.33
199011,0.41,-0.86
199111,2.66,1.39
199211,1.69,0.42
199311,1.66,0.39
199411,1.46,0.19
199511,1.07,-0.20
199611,3.15,1.88
199711,0.99,-0.28
199811,1.66,0.39
199911,0.32,-0.95
200011,3.39,2.12
200111,2.07,0.80
200211,0.26,-1.01
200311,0.96,-0.31
200411,0.63,-0.64
200511,2.57,1.30
200611,0.86,-0.41
200711,0.28,-0.99
200811,1.55,0.28
200911,0.75,-0.52
201011,1.38,0.11
201111,0.34,-0.93
201211,0.87,-0.40
201311,0.62,-0.65
201411,0.81,-0.46
201511,2.68,1.41
201611,1.72,0.45
201711,0.51,-0.76
201811,1.05,-0.22
201911,1.17,-0.10
202011,1.13,-0.14
202111,1.21,-0.06
202211,1.77,0.50
