Missouri, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,3.58,0.69
189611,2.39,-0.50
189711,2.54,-0.35
189811,2.38,-0.51
189911,2.05,-0.84
190011,2.92,0.03
190111,1.50,-1.39
190211,3.75,0.86
190311,1.19,-1.70
190411,0.21,-2.68
190511,1.89,-1.00
190611,3.50,0.61
190711,2.20,-0.69
190811,3.74,0.85
190911,4.52,1.63
191011,0.38,-2.51
191111,2.61,-0.28
191211,1.60,-1.29
191311,2.66,-0.23
191411,0.71,-2.18
191511,2.83,-0.06
191611,2.45,-0.44
191711,1.16,-1.73
191811,3.19,0.30
191911,3.65,0.76
192011,1.05,-1.84
192111,2.89,0.00
192211,3.71,0.82
192311,2.22,-0.67
192411,1.81,-1.08
192511,3.03,0.14
192611,3.00,0.11
192711,3.77,0.88
192811,5.02,2.13
192911,1.34,-1.55
193011,2.84,-0.05
193111,5.58,2.69
193211,1.87,-1.02
193311,0.97,-1.92
193411,5.55,2.66
193511,4.28,1.39
193611,1.86,-1.03
193711,1.86,-1.03
193811,4.29,1.40
193911,2.60,-0.29
194011,3.40,0.51
194111,2.32,-0.57
194211,4.13,1.24
194311,0.90,-1.99
194411,2.38,-0.51
194511,1.29,-1.60
194611,6.06,3.17
194711,2.54,-0.35
194811,3.53,0.64
194911,0.43,-2.46
195011,1.52,-1.37
195111,3.69,0.80
195211,3.51,0.62
195311,1.02,-1.87
195411,0.84,-2.05
195511,0.93,-1.96
195611,2.28,-0.61
195711,3.62,0.73
195811,3.79,0.90
195911,1.49,-1.40
196011,1.93,-0.96
196111,3.92,1.03
196211,0.98,-1.91
196311,2.58,-0.31
196411,3.30,0.41
196511,0.99,-1.90
196611,1.83,-1.06
196711,1.54,-1.35
196811,5.33,2.44
196911,0.79,-2.10
197011,1.63,-1.26
197111,2.37,-0.52
197211,5.76,2.87
197311,4.54,1.65
197411,4.20,1.31
197511,3.11,0.22
197611,0.58,-2.31
197711,2.96,0.07
197811,5.19,2.30
197911,3.41,0.52
198011,1.36,-1.53
198111,3.05,0.16
198211,3.57,0.68
198311,6.94,4.05
198411,4.24,1.35
198511,7.66,4.77
198611,2.02,-0.87
198711,4.44,1.55
198811,4.97,2.08
198911,0.52,-2.37
199011,3.13,0.24
199111,4.29,1.40
199211,7.72,4.83
199311,4.41,1.52
199411,6.43,3.54
199511,1.67,-1.22
199611,5.15,2.26
199711,2.39,-0.50
199811,3.21,0.32
199911,1.14,-1.75
200011,2.88,-0.01
200111,2.55,-0.34
200211,0.84,-2.05
200311,4.08,1.19
200411,5.71,2.82
200511,3.13,0.24
200611,3.50,0.61
200711,1.16,-1.73
200811,1.61,-1.28
200911,2.27,-0.62
201011,3.08,0.19
201111,5.72,2.83
201211,1.57,-1.32
201311,2.44,-0.45
201411,1.72,-1.17
201511,7.90,5.01
201611,1.49,-1.40
201711,0.91,-1.98
201811,2.73,-0.16
201911,2.87,-0.02
202011,3.04,0.15
202111,1.04,-1.85
202211,3.19,0.30
