New Jersey, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,3.07,-0.34
189611,3.12,-0.29
189711,4.87,1.46
189811,6.60,3.19
189911,2.29,-1.12
190011,3.35,-0.06
190111,2.52,-0.89
190211,2.30,-1.11
190311,1.29,-2.12
190411,2.20,-1.21
190511,1.89,-1.52
190611,1.69,-1.72
190711,5.55,2.14
190811,1.02,-2.39
190911,2.56,-0.85
191011,3.72,0.31
191111,5.29,1.88
191211,3.25,-0.16
191311,2.88,-0.53
191411,2.39,-1.02
191511,1.56,-1.85
191611,2.10,-1.31
191711,0.54,-2.87
191811,1.91,-1.50
191911,3.82,0.41
192011,4.37,0.96
192111,4.03,0.62
192211,0.82,-2.59
192311,2.45,-0.96
192411,2.08,-1.33
192511,3.26,-0.15
192611,4.04,0.63
192711,3.73,0.32
192811,1.92,-1.49
192911,2.77,-0.64
193011,3.10,-0.31
193111,0.85,-2.56
193211,7.44,4.03
193311,1.10,-2.31
193411,3.10,-0.31
193511,5.15,1.74
193611,1.10,-2.31
193711,4.47,1.06
193811,3.37,-0.04
193911,1.70,-1.71
194011,4.67,1.26
194111,2.81,-0.60
194211,4.00,0.59
194311,3.02,-0.39
194411,6.14,2.73
194511,5.46,2.05
194611,1.41,-2.00
194711,6.19,2.78
194811,4.75,1.34
194911,1.64,-1.77
195011,5.16,1.75
195111,6.45,3.04
195211,4.86,1.45
195311,2.91,-0.50
195411,5.12,1.71
195511,2.30,-1.11
195611,3.76,0.35
195711,3.96,0.55
195811,2.78,-0.63
195911,4.25,0.84
196011,2.25,-1.16
196111,2.62,-0.79
196211,4.79,1.38
196311,6.74,3.33
196411,2.01,-1.40
196511,1.40,-2.01
196611,2.82,-0.59
196711,2.11,-1.30
196811,4.93,1.52
196911,3.33,-0.08
197011,5.31,1.90
197111,5.16,1.75
197211,9.01,5.60
197311,1.45,-1.96
197411,1.54,-1.87
197511,3.68,0.27
197611,0.59,-2.82
197711,7.49,4.08
197811,2.49,-0.92
197911,3.54,0.13
198011,3.26,-0.15
198111,1.56,-1.85
198211,3.66,0.25
198311,6.21,2.80
198411,2.39,-1.02
198511,6.20,2.79
198611,6.33,2.92
198711,3.14,-0.27
198811,6.40,2.99
198911,2.74,-0.67
199011,2.26,-1.15
199111,1.97,-1.44
199211,4.76,1.35
199311,2.86,-0.55
199411,3.67,0.26
199511,5.07,1.66
199611,2.59,-0.82
199711,4.16,0.75
199811,1.35,-2.06
199911,2.38,-1.03
200011,3.15,-0.26
200111,1.00,-2.41
200211,5.10,1.69
200311,4.32,0.91
200411,4.62,1.21
200511,3.91,0.50
200611,5.88,2.47
200711,2.34,-1.07
200811,3.80,0.39
200911,2.19,-1.22
201011,2.17,-1.24
201111,3.83,0.42
201211,1.30,-2.11
201311,2.89,-0.52
201411,4.34,0.93
201511,2.30,-1.11
201611,2.43,-0.98
201711,1.70,-1.71
201811,8.65,5.24
201911,1.94,-1.47
202011,4.09,0.68
202111,1.01,-2.40
202211,2.88,-0.53
