Rhode Island, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,6.50,2.32
189611,3.39,-0.79
189711,8.08,3.90
189811,7.32,3.14
189911,2.05,-2.13
190011,5.19,1.01
190111,2.55,-1.63
190211,1.60,-2.58
190311,2.03,-2.15
190411,2.26,-1.92
190511,2.95,-1.23
190611,2.76,-1.42
190711,6.76,2.58
190811,1.15,-3.03
190911,3.29,-0.89
191011,4.31,0.13
191111,6.95,2.77
191211,4.05,-0.13
191311,2.33,-1.85
191411,2.76,-1.42
191511,2.71,-1.47
191611,2.83,-1.35
191711,0.57,-3.61
191811,2.66,-1.52
191911,4.19,0.01
192011,4.92,0.74
192111,7.39,3.21
192211,1.17,-3.01
192311,3.70,-0.48
192411,2.13,-2.05
192511,4.26,0.08
192611,5.77,1.59
192711,6.17,1.99
192811,1.86,-2.32
192911,3.10,-1.08
193011,3.74,-0.44
193111,1.03,-3.15
193211,6.18,2.00
193311,1.95,-2.23
193411,3.63,-0.55
193511,5.32,1.14
193611,1.37,-2.81
193711,6.04,1.86
193811,3.44,-0.74
193911,1.18,-3.00
194011,6.95,2.77
194111,2.80,-1.38
194211,5.42,1.24
194311,3.54,-0.64
194411,7.71,3.53
194511,7.08,2.90
194611,1.30,-2.88
194711,4.80,0.62
194811,5.56,1.38
194911,3.23,-0.95
195011,5.96,1.78
195111,7.74,3.56
195211,2.22,-1.96
195311,6.16,1.98
195411,5.07,0.89
195511,5.17,0.99
195611,3.90,-0.28
195711,4.48,0.30
195811,3.15,-1.03
195911,4.77,0.59
196011,3.22,-0.96
196111,3.29,-0.89
196211,4.54,0.36
196311,6.64,2.46
196411,2.93,-1.25
196511,2.02,-2.16
196611,4.52,0.34
196711,3.32,-0.86
196811,6.20,2.02
196911,6.71,2.53
197011,5.35,1.17
197111,5.81,1.63
197211,8.05,3.87
197311,2.41,-1.77
197411,1.95,-2.23
197511,6.42,2.24
197611,0.77,-3.41
197711,3.35,-0.83
197811,2.83,-1.35
197911,4.41,0.23
198011,3.86,-0.32
198111,3.46,-0.72
198211,4.32,0.14
198311,9.68,5.50
198411,2.35,-1.83
198511,7.48,3.30
198611,6.89,2.71
198711,3.43,-0.75
198811,8.38,4.20
198911,5.51,1.33
199011,2.28,-1.90
199111,4.79,0.61
199211,5.26,1.08
199311,3.48,-0.70
199411,5.33,1.15
199511,5.21,1.03
199611,2.64,-1.54
199711,6.12,1.94
199811,2.34,-1.84
199911,2.80,-1.38
200011,4.08,-0.10
200111,0.89,-3.29
200211,5.95,1.77
200311,2.29,-1.89
200411,4.49,0.31
200511,5.69,1.51
200611,6.60,2.42
200711,3.25,-0.93
200811,4.42,0.24
200911,3.58,-0.60
201011,3.67,-0.51
201111,4.52,0.34
201211,0.99,-3.19
201311,3.98,-0.20
201411,5.14,0.96
201511,2.59,-1.59
201611,3.21,-0.97
201711,2.75,-1.43
201811,9.60,5.42
201911,3.12,-1.06
202011,5.38,1.20
202111,2.21,-1.97
202211,3.08,-1.10
