Texas, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,2.50,0.67
189611,0.87,-0.96
189711,0.42,-1.41
189811,1.48,-0.35
189911,2.31,0.48
190011,1.16,-0.67
190111,1.31,-0.52
190211,4.67,2.84
190311,0.11,-1.72
190411,0.81,-1.02
190511,3.00,1.17
190611,1.88,0.05
190711,4.11,2.28
190811,1.92,0.09
190911,2.37,0.54
191011,0.59,-1.24
191111,1.32,-0.51
191211,1.08,-0.75
191311,3.60,1.77
191411,3.03,1.20
191511,0.74,-1.09
191611,1.27,-0.56
191711,0.80,-1.03
191811,3.58,1.75
191911,2.07,0.24
192011,2.30,0.47
192111,0.61,-1.22
192211,2.20,0.37
192311,2.51,0.68
192411,0.54,-1.29
192511,2.14,0.31
192611,1.16,-0.67
192711,0.43,-1.40
192811,2.25,0.42
192911,2.49,0.66
193011,2.41,0.58
193111,2.04,0.21
193211,0.64,-1.19
193311,0.95,-0.88
193411,3.16,1.33
193511,1.72,-0.11
193611,1.22,-0.61
193711,1.73,-0.10
193811,1.23,-0.60
193911,1.96,0.13
194011,5.17,3.34
194111,0.98,-0.85
194211,0.91,-0.92
194311,1.75,-0.08
194411,3.06,1.23
194511,0.69,-1.14
194611,3.41,1.58
194711,2.29,0.46
194811,1.38,-0.45
194911,0.12,-1.71
195011,0.32,-1.51
195111,0.86,-0.97
195211,3.29,1.46
195311,1.05,-0.78
195411,1.12,-0.71
195511,0.64,-1.19
195611,1.14,-0.69
195711,3.71,1.88
195811,1.20,-0.63
195911,1.19,-0.64
196011,1.52,-0.31
196111,2.71,0.88
196211,1.81,-0.02
196311,2.47,0.64
196411,2.03,0.20
196511,1.59,-0.24
196611,0.35,-1.48
196711,1.43,-0.40
196811,3.10,1.27
196911,1.83,0.00
197011,0.40,-1.43
197111,1.30,-0.53
197211,2.05,0.22
197311,1.09,-0.74
197411,2.61,0.78
197511,1.37,-0.46
197611,1.49,-0.34
197711,1.91,0.08
197811,3.16,1.33
197911,0.87,-0.96
198011,2.07,0.24
198111,1.16,-0.67
198211,3.05,1.22
198311,1.92,0.09
198411,2.08,0.25
198511,2.43,0.60
198611,2.93,1.10
198711,2.48,0.65
198811,0.89,-0.94
198911,0.75,-1.08
199011,2.31,0.48
199111,1.50,-0.33
199211,3.08,1.25
199311,1.25,-0.58
199411,1.80,-0.03
199511,1.50,-0.33
199611,2.71,0.88
199711,1.81,-0.02
199811,3.15,1.32
199911,0.26,-1.57
200011,5.24,3.41
200111,3.31,1.48
200211,1.83,0.00
200311,1.56,-0.27
200411,6.18,4.35
200511,0.73,-1.10
200611,0.72,-1.11
200711,1.34,-0.49
200811,0.99,-0.84
200911,1.26,-0.57
201011,1.04,-0.79
201111,1.28,-0.55
201211,0.31,-1.52
201311,1.94,0.11
201411,2.83,1.00
201511,3.87,2.04
201611,2.34,0.51
201711,0.73,-1.10
201811,1.78,-0.05
201911,1.42,-0.41
202011,0.95,-0.88
202111,1.16,-0.67
202211,2.73,0.90
