Utah, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,1.49,0.45
189611,1.09,0.05
189711,0.91,-0.13
189811,0.89,-0.15
189911,0.69,-0.35
190011,1.50,0.46
190111,0.32,-0.72
190211,2.05,1.01
190311,0.57,-0.47
190411,0.00,-1.04
190511,1.94,0.90
190611,2.40,1.36
190711,0.41,-0.63
190811,0.72,-0.32
190911,2.26,1.22
191011,0.93,-0.11
191111,0.69,-0.35
191211,0.78,-0.26
191311,1.97,0.93
191411,0.08,-0.96
191511,1.22,0.18
191611,0.34,-0.70
191711,0.70,-0.34
191811,0.95,-0.09
191911,1.68,0.64
192011,1.00,-0.04
192111,0.49,-0.55
192211,1.66,0.62
192311,0.87,-0.17
192411,0.66,-0.38
192511,0.87,-0.17
192611,1.21,0.17
192711,1.34,0.30
192811,1.50,0.46
192911,0.14,-0.90
193011,1.23,0.19
193111,1.56,0.52
193211,0.19,-0.85
193311,0.89,-0.15
193411,1.46,0.42
193511,0.54,-0.50
193611,0.37,-0.67
193711,0.56,-0.48
193811,0.93,-0.11
193911,0.23,-0.81
194011,1.14,0.10
194111,1.02,-0.02
194211,1.21,0.17
194311,0.74,-0.30
194411,1.46,0.42
194511,1.07,0.03
194611,2.29,1.25
194711,1.19,0.15
194811,0.62,-0.42
194911,0.47,-0.57
195011,1.06,0.02
195111,1.47,0.43
195211,0.78,-0.26
195311,0.85,-0.19
195411,1.00,-0.04
195511,1.12,0.08
195611,0.16,-0.88
195711,2.24,1.20
195811,1.08,0.04
195911,0.36,-0.68
196011,1.45,0.41
196111,1.03,-0.01
196211,0.48,-0.56
196311,1.35,0.31
196411,1.47,0.43
196511,2.09,1.05
196611,0.75,-0.29
196711,0.69,-0.35
196811,0.59,-0.45
196911,0.68,-0.36
197011,1.68,0.64
197111,0.86,-0.18
197211,1.54,0.50
197311,1.45,0.41
197411,0.89,-0.15
197511,0.97,-0.07
197611,0.16,-0.88
197711,0.65,-0.39
197811,2.74,1.70
197911,1.03,-0.01
198011,0.76,-0.28
198111,0.92,-0.12
198211,1.77,0.73
198311,2.35,1.31
198411,1.01,-0.03
198511,2.34,1.30
198611,0.79,-0.25
198711,1.88,0.84
198811,1.29,0.25
198911,0.51,-0.53
199011,0.94,-0.10
199111,1.47,0.43
199211,0.88,-0.16
199311,0.79,-0.25
199411,1.77,0.73
199511,0.54,-0.50
199611,1.78,0.74
199711,0.95,-0.09
199811,1.03,-0.01
199911,0.22,-0.82
200011,0.68,-0.36
200111,1.52,0.48
200211,0.93,-0.11
200311,1.35,0.31
200411,1.69,0.65
200511,0.65,-0.39
200611,0.70,-0.34
200711,0.33,-0.71
200811,1.07,0.03
200911,0.40,-0.64
201011,1.40,0.36
201111,0.90,-0.14
201211,0.67,-0.37
201311,1.02,-0.02
201411,0.75,-0.29
201511,1.07,0.03
201611,0.95,-0.09
201711,0.53,-0.51
201811,0.85,-0.19
201911,1.86,0.82
202011,0.73,-0.31
202111,0.25,-0.79
202211,1.26,0.22
